"date_m","nb_travel"
2018-01-01,2144933
2018-02-01,1960400
2018-03-01,2426856
2018-04-01,2146498
2018-05-01,1693910
2018-06-01,1367266
2018-07-01,1528118
2018-08-01,1807356
2018-09-01,1553946
2018-10-01,1569921
2018-11-01,1627186
2018-12-01,1763057
2019-01-01,2225679
2019-02-01,2070494
2019-03-01,2584513
2019-04-01,2152728
2019-05-01,1776118
2019-06-01,1418264
2019-07-01,1528773
2019-08-01,1856088
2019-09-01,1583173
2019-10-01,1605321
2019-11-01,1725296
2019-12-01,1846345
2020-01-01,2297910
2020-02-01,2145302
2020-03-01,1719794
2020-04-01,40270
2020-05-01,35894
2020-06-01,52014
2020-07-01,79498
2020-08-01,127130
2020-09-01,106737
2020-10-01,114484
2020-11-01,127717
2020-12-01,170715
2021-01-01,233170
2021-02-01,111794
2021-03-01,67713
2021-04-01,78650
2021-05-01,79568
2021-06-01,86447
2021-07-01,234502
2021-08-01,511742
2021-09-01,489254
2021-10-01,554908
2021-11-01,691748
2021-12-01,838853
2022-01-01,724688
2022-02-01,662793
2022-03-01,1234145
2022-04-01,1319136
2022-05-01,1244943
2022-06-01,1018520
2022-07-01,1221618
2022-08-01,1433848
2022-09-01,1256821
2022-10-01,1356898
2022-11-01,1455484
2022-12-01,1537063
